City_ID,City,Country,Description,Max Temp,Lat,Lng,Hotel Name
463,Tucupita,VE,broken clouds,74.3,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
472,Ahmadpur,IN,overcast clouds,74.77,18.7,76.9333,Hengane (Pitashri Niwas)
478,Viedma,AR,light rain,74.46,-40.8135,-62.9967,Hotel Cristal
492,Xai-Xai,MZ,overcast clouds,71.04,-25.0519,33.6442,Complexo da Familia
499,Zhuhai,CN,scattered clouds,66.97,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
500,Jaisalmer,IN,clear sky,68.36,26.9147,70.9181,Hotel Fifu
502,Englewood,US,overcast clouds,63.21,39.6478,-104.9878,Holiday Motel
507,Athens,GR,overcast clouds,60.94,37.9795,23.7162,Novotel Athenes
508,Azul,AR,few clouds,64.04,-36.777,-59.8585,Cabañas Dulcinea
509,Sabha,LY,overcast clouds,65.61,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
513,Yokadouma,CM,broken clouds,70.21,3.5167,15.05,Hôtel De Ville De Yokadouma
517,Valparaiso,CL,broken clouds,60.48,-33.0393,-71.6273,Hotel Ultramar
519,Presidencia Roque Saenz Pena,AR,clear sky,75.52,-26.7852,-60.4388,Hotel Aconcagua
525,Camacupa,AO,overcast clouds,62.02,-12.0167,17.4833,seviremde seni
531,Bani Walid,LY,clear sky,60.49,31.7566,13.9942,منزل الصابر أبوفانة
532,Rosarito,MX,broken clouds,68.23,32.3333,-117.0333,Hotel Festival Plaza Rosarito
533,Jieshi,CN,clear sky,59.95,22.8134,115.8257,Yuehai Hotel
537,Saint-Pierre,RE,clear sky,73.08,-21.3393,55.4781,Lindsey Hôtel
539,Itirapina,BR,overcast clouds,72.9,-22.2528,-47.8228,Pousada Paraíso das Aguas
541,Nola,IT,overcast clouds,59.7,40.922,14.5329,Villa Minieri Eventi
548,Necochea,AR,clear sky,69.04,-38.5473,-58.7368,dyd -mar Hotel
552,Nampula,MZ,broken clouds,72.0,-15.1165,39.2666,BUTIK Hotel
559,Praia Da Vitoria,PT,overcast clouds,65.75,38.7333,-27.0667,Hotel Branco I
566,Itacare,BR,broken clouds,75.76,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
574,Uruacu,BR,overcast clouds,72.23,-14.5247,-49.1408,Cassius Hotel
576,Cacapava Do Sul,BR,clear sky,57.4,-30.5122,-53.4914,Hotel Portal
578,Darlawn,IN,clear sky,57.15,24.0167,92.9,BNRGSK BUILDING
588,Nombre De Dios,MX,overcast clouds,68.81,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
589,Inirida,CO,light rain,74.41,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
590,Ibra,OM,broken clouds,67.06,22.6906,58.5334,مزرعة راحة النفوس المنزفة
591,Vallenar,CL,overcast clouds,63.72,-28.5708,-70.7581,Humacao Bed & Breakfast
593,Sungaipenuh,ID,overcast clouds,71.82,-2.0833,101.3833,penginapan citra alam
